fiscalDateEnding,totalAssets,totalCurrentLiabilities,totalShareholderEquity,totalLiabilities,inventory,totalCurrentAssets,reportedCurrency,netIncome,totalRevenue,ebit,costofGoodsAndServicesSold,operatingExpenses,interestExpense,ebitda,changeInInventory,operatingCashflow,companyName
2018-12-31,123382000000.0,38227000000.0,16796000000.0,106452000000.0,1682000000.0,49146000000.0,USD,8728000000,79591000000.0,12070000000,42655000000.0,26098000000,723000000.0,13423000000.0,127000000.0,15247000000,IBM
2017-12-31,125356000000.0,37363000000.0,17594000000.0,107631000000.0,1583000000.0,49735000000.0,USD,5753000000,79139000000.0,12010000000,41703000000.0,27414000000,615000000.0,13530000000.0,-18000000.0,16724000000,IBM
2016-12-31,117470000000.0,36275000000.0,18246000000.0,99078000000.0,1553000000.0,43888000000.0,USD,11872000000,79919000000.0,12951000000,40580000000.0,28579000000,630000000.0,14495000000.0,14000000.0,17084000000,IBM
2015-12-31,110495000000.0,34269000000.0,14262000000.0,96071000000.0,1551000000.0,42504000000.0,USD,13190000000,81741000000.0,16239000000,40046000000.0,27351000000,468000000.0,17432000000.0,-133000000.0,17255000000,IBM
2014-12-31,117271000000.0,39581000000.0,11868000000.0,105257000000.0,2103000000.0,47377000000.0,USD,12016000000,92793000000.0,16734000000,45346000000.0,28429000000,484000000.0,18081000000.0,39000000.0,16868000000,IBM
2013-12-31,125641000000.0,40154000000.0,22792000000.0,103294000000.0,2310000000.0,51350000000.0,USD,16476000000,98367000000.0,20241000000,50136000000.0,31832000000,402000000.0,22179000000.0,57000000.0,17485000000,IBM
2012-12-31,119213000000.0,43625000000.0,18860000000.0,100229000000.0,2287000000.0,49433000000.0,USD,16593000000,102874000000.0,22593000000,53122000000.0,33946000000,459000000.0,24422000000.0,-280000000.0,19586000000,IBM
2011-12-31,116433000000.0,42123000000.0,20138000000.0,96197000000.0,2595000000.0,50928000000.0,USD,15849000000,106916000000.0,21408000000,55713000000.0,34229000000,411000000.0,23187000000.0,163000000.0,19846000000,IBM
2010-12-31,113452000000.0,40562000000.0,23046000000.0,90279000000.0,2450000000.0,48116000000.0,USD,14824000000,99870000000.0,20082000000,52757000000.0,31166000000,368000000.0,21811000000.0,-92000000.0,19549000000,IBM
2009-12-31,109022000000.0,36002000000.0,22637000000.0,86267000000.0,2494000000.0,48935000000.0,USD,13425000000,95758000000.0,18540000000,50752000000.0,28395000000,402000000.0,19761000000.0,-263000000.0,20773000000,IBM
2019-03-31,748744000.0,141275000.0,264693000.0,484051000.0,108650000.0,164368000.0,USD,21680000,895093000.0,49236000,371410000.0,128133000,27275000.0,87560000.0,14688000.0,54896000,TCS
2018-03-31,749369000.0,126537000.0,248707000.0,500662000.0,97362000.0,154194000.0,USD,19428000,857228000.0,31718000,360167000.0,124501000,25013000.0,72287000.0,-8406000.0,62176000,TCS
2016-02-27,758119000.0,116003000.0,207068000.0,551051000.0,86435000.0,146431000.0,USD,5142000,794630000.0,24861000,371355000.0,121992000,16810000.0,79923500.0,1929000.0,42307000,TCS
2015-02-28,769057000.0,119136000.0,201862000.0,567195000.0,83724000.0,156942000.0,USD,22673000,781866000.0,46971000,371355000.0,116853000,17105000.0,79923500.0,2668000.0,129354000,TCS
2014-03-01,783149000.0,135089000.0,197186000.0,585963000.0,85595000.0,164407000.0,USD,8166000,748538000.0,29798000,371355000.0,127754000,21185000.0,79923500.0,3553000.0,104157000,TCS
2024-01-31,9929793000.0,1762187000.0,8019406000.0,1910387000.0,403607000.0,7926219000.0,USD,637462000,4527224000.0,525279000,1077801000.0,2924144000,44570666.66666666,808480000.0,-42097000.0,1598836000,ZOOM
2023-01-31,8128065000.0,1738644000.0,6206607000.0,1921458000.0,223250000.0,6356412000.0,USD,103711000,4392960000.0,245429000,1100451000.0,3047080000,33724000.0,510097000.0,51857000.0,1290262000,ZOOM
2021-01-31,5297993000.0,1259966000.0,3860767000.0,1437226000.0,247807000.0,4792865000.0,USD,672316000,2651368000.0,659848000,821989000.0,1169531000,18186000.0,765154000.0,176754000.0,1471177000,ZOOM
