Date,Symbol,Security Name,Client Name,Buy / Sell,Quantity Traded,Reported Currency,Exchange Name,Trade Price
"January 02, 2024",FELIX,Felix Industries Ltd.,********************** SHETH,1,"37,000",USD,NSE,3.13
"January 02, 2024",FELIX,Felix Industries Ltd.,********PTA,0,"45,000",USD,NSE,3.23
"January 02, 2024",FELIX,Felix Industries Ltd.,********PTA,1,"27,000",USD,NSE,3.2
"January 02, 2024",GANGAFORGE,Ganga Forging Limited,****************SHAH,1,"6,50,000",USD,NSE,0.08
"January 02, 2024",GANGAFORGE,Ganga Forging Limited,****************AKKAR,0,"6,19,560",USD,NSE,0.08
"January 02, 2024",GANGAFORGE,Ganga Forging Limited,****************AKKAR,1,"1,75,000",USD,NSE,0.08
"January 02, 2024",GATECHDVR,GACM Technologies Limited,*********************IMITED,1,"4,56,818",USD,NSE,0.1
"January 02, 2024",GICL,Globe Intl Carriers Ltd,****************REKH,1,"1,92,000",USD,NSE,0.61
"January 02, 2024",GICL,Globe Intl Carriers Ltd,***************************LIMITED,0,"1,92,000",USD,NSE,0.61
"January 02, 2024",GODHA,Godha Cabcon Insulat Ltd,***************************LIMITED,0,"63,43,162",USD,NSE,0.01
"January 02, 2024",GODHA,Godha Cabcon Insulat Ltd,***************************LIMITED,1,"50,00,000",USD,NSE,0.01
"January 02, 2024",GSFC,Gujarat State Fert Ltd.,***********************AL LLP,0,"43,93,289",USD,NSE,3.42
"January 02, 2024",GSFC,Gujarat State Fert Ltd.,***********************AL LLP,1,"43,93,289",USD,NSE,3.43
"January 02, 2024",GSLSU,Global Surfaces Limited,***********************AL LLP,0,"3,26,281",USD,NSE,2.36
"January 02, 2024",GSLSU,Global Surfaces Limited,***********************AL LLP,1,"3,26,281",USD,NSE,2.36
"January 02, 2024",GSLSU,Global Surfaces Limited,****************************** PVT LTD,0,"2,71,693",USD,NSE,2.37
"January 02, 2024",GSLSU,Global Surfaces Limited,****************************** PVT LTD,1,"2,71,693",USD,NSE,2.35
"January 02, 2024",GTL,GTL Limited,*********AIN,0,"10,00,000",USD,NSE,0.14
"January 02, 2024",GTL,GTL Limited,****************************** PVT LTD,0,"5,00,047",USD,NSE,0.15
"January 02, 2024",GTL,GTL Limited,****************************** PVT LTD,1,"9,92,939",USD,NSE,0.14
"January 02, 2024",GTL,GTL Limited,******************T LTD,0,"8,50,794",USD,NSE,0.15
"January 02, 2024",GTL,GTL Limited,******************T LTD,1,"6,04,787",USD,NSE,0.15
"January 02, 2024",INDOAMIN,Indo Amines Limited,***********************AL LLP,0,"7,29,329",USD,NSE,1.79
"January 02, 2024",INDOAMIN,Indo Amines Limited,***********************AL LLP,1,"7,29,329",USD,NSE,1.79
"January 02, 2024",INNOVACAP,Innova Captab Limited,***********************AL LLP,0,"3,45,941",USD,NSE,6.79
"January 02, 2024",INNOVACAP,Innova Captab Limited,***********************AL LLP,1,"3,45,941",USD,NSE,6.79
"January 02, 2024",INNOVATIVE,Innovative Tyres & Tubes,***************ORAH,1,"1,35,000",USD,NSE,0.09
"January 02, 2024",JPPOWER,Jaiprakash Power Ven. Lt,****************************LIMITED,0,"3,79,61,458",USD,NSE,0.19
"January 02, 2024",JPPOWER,Jaiprakash Power Ven. Lt,****************************LIMITED,1,"3,24,20,240",USD,NSE,0.19
"January 02, 2024",LEMONTREE,Lemon Tree Hotels Ltd,***********************AL LLP,0,"94,29,557",USD,NSE,1.55
"January 02, 2024",LEMONTREE,Lemon Tree Hotels Ltd,***********************AL LLP,1,"94,29,557",USD,NSE,1.55
"January 02, 2024",LIBAS,Libas Consu Products Ltd,************JANI,0,"1,50,000",USD,NSE,0.23
"January 02, 2024",LIBAS,Libas Consu Products Ltd,********************PANDYA,0,"1,87,743",USD,NSE,0.23
"January 02, 2024",LIBAS,Libas Consu Products Ltd,********************PANDYA,1,"1,87,743",USD,NSE,0.23
"January 02, 2024",LIBAS,Libas Consu Products Ltd,************ADAV,1,"1,99,000",USD,NSE,0.23
"January 02, 2024",MADRASFERT,Madras Fertilizers Ltd,***********************AL LLP,0,"8,35,374",USD,NSE,1.42
"January 02, 2024",MADRASFERT,Madras Fertilizers Ltd,***********************AL LLP,1,"8,35,374",USD,NSE,1.42
"January 02, 2024",MAHLOG,Mahindra Logistic Limited,***********************AL LLP,0,"4,69,948",USD,NSE,5.07
"January 02, 2024",MAHLOG,Mahindra Logistic Limited,***********************AL LLP,1,"4,69,948",USD,NSE,5.08
"January 02, 2024",MAXIND,Max India Limited,***********************AL LLP,0,"3,01,414",USD,NSE,2.42
"January 02, 2024",MAXIND,Max India Limited,***********************AL LLP,1,"3,01,414",USD,NSE,2.42
"January 02, 2024",MITTAL,Mittal Life Style Limited,************************LIMITED,0,"5,00,000",USD,NSE,0.03
"January 02, 2024",MITTAL,Mittal Life Style Limited,************************LIMITED,1,"25,64,432",USD,NSE,0.03
"January 02, 2024",MITTAL,Mittal Life Style Limited,****************REWAL,0,"23,80,323",USD,NSE,0.03
"January 02, 2024",MITTAL,Mittal Life Style Limited,****************REWAL,1,"23,30,323",USD,NSE,0.03
"January 02, 2024",MITTAL,Mittal Life Style Limited,************ADAV,0,"25,51,000",USD,NSE,0.03
"January 02, 2024",MOL,Meghmani Organics Limited,***********************AL LLP,0,"28,51,031",USD,NSE,1.05
"January 02, 2024",MOL,Meghmani Organics Limited,***********************AL LLP,1,"28,51,031",USD,NSE,1.05
"January 02, 2024",MTNL,Maha Tel Nigam Ltd.,****************ITED,0,"12,30,535",USD,NSE,0.4
"January 02, 2024",MTNL,Maha Tel Nigam Ltd.,****************ITED,1,"14,10,941",USD,NSE,0.4
"January 02, 2024",NFL,National Fertilizers Limi,***********************AL LLP,0,"57,92,682",USD,NSE,1.24
"January 02, 2024",NFL,National Fertilizers Limi,***********************AL LLP,1,"57,92,682",USD,NSE,1.24
"January 02, 2024",NFL,National Fertilizers Limi,****************ITED,0,"33,09,967",USD,NSE,1.23
"January 02, 2024",NFL,National Fertilizers Limi,****************ITED,1,"33,84,812",USD,NSE,1.24
"January 02, 2024",ONDOOR,On Door Concepts Limited,************************************LIMITED  .,0,"3,000",USD,NSE,3.11
"January 02, 2024",ONDOOR,On Door Concepts Limited,************************************LIMITED  .,1,"31,800",USD,NSE,3.04
"January 02, 2024",PDSL,PDS Limited,********************IMITED,0,"10,00,000",USD,NSE,6.06
"January 02, 2024",PRESSTONIC,Presstonic Engineering L,********************** SHETH,0,"56,000",USD,NSE,1.87
"January 02, 2024",PRESSTONIC,Presstonic Engineering L,********************** SHETH,1,"56,000",USD,NSE,1.87
"January 02, 2024",PRESSTONIC,Presstonic Engineering L,***************************LIMITED,0,"54,400",USD,NSE,1.98
